OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
41885,2017,CA,USF,KNF,OAK,00006016,2017/08/11 00:00:00+00,2017/09/29 00:00:00+00,1,3,1,91125.328,CONT_DATE from Klamath Forest Alliance.  Merged with Young & Clear fires.,ECLIPSE COMPLEX,00006098,,,2010,470305.295948125,662759651.436543
41886,2017,CA,USF,KNF,WALLOW,00006029,2017/08/11 00:00:00+00,2017/11/13 00:00:00+00,1,3,1,63785.07,CONT_DATE est from other Salmon-August fires,SALMON AUGUST COMPLEX,00006081,,,2010,302323.992355088,459363739.031812
41925,2017,CA,USF,MDF,COVE,00000722,2017/07/25 00:00:00+00,2017/09/06 00:00:00+00,1,3,1,30890.861,<Null>,,,,,2010,85246.3692302943,221557152.639383
41927,2017,CA,USF,MDF,STEELE,00000776,2017/07/26 00:00:00+00,2017/08/13 00:00:00+00,1,3,1,45704.012,<Null>,,,,,2010,210887.602572587,333949956.298886
41950,2017,CA,CDF,BTU,CHEROKEE,00015933,2017/10/08 00:00:00+00,2017/11/05 00:00:00+00,11,1,1,8415.8027,,,,,,2010,56006.6256092233,57418682.6720681
41952,2017,CA,CDF,BTU,WALL,00010975,2017/07/07 00:00:00+00,2017/08/03 00:00:00+00,2,1,1,6028.4897,,,,,,2010,49937.6101350892,40992989.863548
41988,2017,CA,CDF,NEU,CASCADE,00026269,2017/10/08 00:00:00+00,2017/10/26 00:00:00+00,14,7,1,16140.799,Merged with LaPorte,WIND COMPLEX,00026295,,,2010,126853.614804535,109404876.923655
41996,2017,CA,NPS,YNP,EMPIRE,00000084,2017/07/31 00:00:00+00,2017/11/27 00:00:00+00,1,7,1,8577.5518,,,,,84,2010,156091.427983048,55463909.9586747
42029,2017,CA,CCO,LDF,LA TUNA,00000965,2017/09/01 00:00:00+00,2017/09/08 00:00:00+00,14,8,1,7051.3511,"5 residential structures, 5 outbuildings lost",,,,,2010,39362.4635113844,41848445.2727338
42030,2017,CA,USF,MDF,PARKER2 ,00000862,2017/08/03 00:00:00+00,2017/08/15 00:00:00+00,1,3,1,7693.3193,,,,,,2010,154167.754522116,55487039.5245925
42031,2017,CA,NPS,YNP,SOUTH FORK,00000108,2017/08/13 00:00:00+00,2017/11/03 00:00:00+00,1,8,1,7560.0767,no new growth past 10/11,,,,,2010,109839.559860642,48763696.7022927
42032,2017,CA,CDF,LNU,REDWOOD VALLEY,00012172,2017/10/08 00:00:00+00,2017/10/25 00:00:00+00,14,8,1,36522.945,,MENDOCINO LAKE COMPLEX,00012169,,,2010,138169.276738241,247373450.637552
42033,2017,CA,USF,RRS,ABNEY,00000568,2017/08/10 00:00:00+00,2018/01/09 00:00:00+00,1,8,1,32893.262,,MILLER COMPLEX,K9PL,,,2010,174124.472395045,240885915.488907
42055,2018,CA,CDF,BTU,CAMP,00016737,2018/11/08 00:00:00+00,2018/11/26 00:00:00+00,11,1,1,153335.56, ,,,,,2010,405925.63014031,1051100904.37255
42113,2018,CA,CDF,SHU,CARR ,00007808,2018/07/23 00:00:00+00,2018/09/01 00:00:00+00,10,1,1,229651.41, ,,,,,2010,515058.517709609,1618694608.19214
42246,2018,CA,CDF,TCU,WAVERLY,00007477,2018/06/29 00:00:00+00,2018/08/09 00:00:00+00,2,1,1,11759.618,,,,,,2010,80615.1222595405,76775934.0774384
42278,2018,CA,CDF,LNU,COUNTY,00009502,2018/06/30 00:00:00+00,2018/07/11 00:00:00+00,14,2,1,89831.148,,,,,,2010,213735.978033282,597104332.240601
42291,2018,CA,CDF,LNU,RIVER,00008653,2018/07/27 00:00:00+00,2018/08/10 00:00:00+00,14,7,1,48920.391,,MENDOCINO COMPLEX,00008674,,,2010,123952.417928182,328776999.427292
42292,2018,CA,CDF,LNU,RANCH,00008646,2018/07/27 00:00:00+00,2018/09/19 00:00:00+00,9,7,1,410202.47,,MENDOCINO COMPLEX,00008674,,,2010,450086.790106664,2774859060.55709
42332,2018,CA,CDF,SKU,KLAMATHON,00004641,2018/07/05 00:00:00+00,2018/07/21 00:00:00+00,5,7,1,38008.789,,,,,,2010,154918.847360816,278368151.736617
42350,2018,CA,USF,STF,DONNELL,00001702,2018/08/01 00:00:00+00,,4,3,1,36461.418,,,,,,2010,266577.636418859,240469888.352796
42351,2018,CA,USF,SHF,DELTA,00001444,2018/09/05 00:00:00+00,,9,3,1,63505.609, ,,,,,2010,213920.868401596,451652749.714727
42354,2018,CA,USF,SHF,HIRZ,00001223,2018/08/09 00:00:00+00,2018/09/15 00:00:00+00,9,3,1,40608.434,"Hirz Fire grew to include Moore and Point fires, not designated as complex",,,,,2010,166007.169202707,288666688.587551
